"ForestTypeGroup","AgeGroup","carbon","carbon_se","TYPGRPCD","cumTDEE","cumTDEE_ubSE","cumTDEE_lbSE","joint_c"
"California mixed conifer",180,184.0692258,28.22280034,370,74.39882245,85.39555731,63.40208759,109.67040335
"California mixed conifer",190,150.1175232,19.32123172,370,68.91609016,80.52560384,57.30657649,81.20143304
"California mixed conifer",200,229.1173888,11.5687928,370,76.10310378,84.41031205,67.79589551,153.01428502
"California mixed conifer",NA,73.73891272,21.74834969,370,NA,NA,NA,NA
"Douglas-fir",0,48.68936096,2.467436422,200,11.13617314,13.05013663,9.222209654,37.55318782
"Douglas-fir",10,51.52699801,1.640029733,200,18.52346808,20.11128823,16.93564792,33.00352993
"Douglas-fir",20,96.27281733,3.119960338,200,23.62636043,25.02995426,22.2227666,72.6464569
"Douglas-fir",30,134.1176725,4.193428233,200,32.41580038,33.83558811,30.99601265,101.70187212
"Douglas-fir",40,157.618472,5.410520351,200,39.53737364,41.17477638,37.89997091,118.08109836
"Douglas-fir",50,148.8630117,6.333117724,200,45.19528371,46.96395915,43.42660827,103.66772799
"Douglas-fir",60,145.982819,7.781713539,200,50.10103262,52.01758949,48.18447574,95.88178638
"Douglas-fir",70,154.7233921,6.910630967,200,57.88127388,59.88188793,55.88065983,96.84211822
"Douglas-fir",80,136.5180333,6.752326194,200,63.96300503,65.85503457,62.0709755,72.55502827
"Douglas-fir",90,128.1505903,5.601191444,200,67.9314303,69.8442531,66.0186075,60.21916
"Douglas-fir",100,134.8401287,5.690853751,200,71.39147145,73.38176582,69.40117708,63.44865725
"Douglas-fir",110,137.5133849,6.470905561,200,77.61669443,79.73565815,75.49773071,59.89669047
"Douglas-fir",120,148.1406123,8.348954014,200,77.60870867,79.9522531,75.26516424,70.53190363
"Douglas-fir",130,157.7035132,9.488936851,200,79.26500421,81.76716772,76.76284071,78.43850899
"Douglas-fir",140,165.2991131,11.7350233,200,87.6243941,90.61858078,84.63020742,77.674719
"Douglas-fir",150,175.6486241,14.24776651,200,86.05010087,89.41678701,82.68341473,89.59852323
"Douglas-fir",160,182.770871,12.4001551,200,86.5697476,90.01508191,83.12441328,96.2011234
"Douglas-fir",170,207.3844334,17.29516519,200,90.36304957,94.22586619,86.50023295,117.02138383
